id	status	requirement	evidence	notes
P24-REPL-R01	PASS	Retain persistent source-local scalar aggregate callable snapshots console and cooperative cancellation behavior	lyra-repl/src/test/java/io/mindspice/lyra/repl/PersistentScalarTest.java#privateCounterUsesItsOriginalTypedStorage;lyra-repl/src/test/java/io/mindspice/lyra/repl/PersistentAggregateTest.java#arraysKeepAliasesWhileRebindingAndPrivateReplacementSelectNewStorage;lyra-repl/src/test/java/io/mindspice/lyra/repl/PersistentCallableTest.java#closuresRetainOriginalBindingsAndShareMutableCellsAcrossSubmissions;lyra-repl/src/test/java/io/mindspice/lyra/repl/PersistentCallableTest.java#callableAggregateEscapeSurvivesCooperativeCancellation;lyra-repl/src/test/java/io/mindspice/lyra/repl/ExecutedSnapshotTest.java#resultsComeFromExecutedExpressionsAndDeclarationsHaveNoSeparateResult;lyra-repl/src/test/java/io/mindspice/lyra/repl/PlainConsoleTest.java#commandsArePlainAndBindingsAndHistoryAreMetadataOnly	Retained R01 behavior: no replay, no copied values, original typed storage and cells proven.
P24-REPL-R02	PASS	Imports at any submission :load UTF-8 modules aliases re-exports intrinsic std->io and empty local startup	lyra-repl/src/test/java/io/mindspice/lyra/repl/PersistentImportTest.java#importedModuleInitializesOnceAndKeepsLiveStateAcrossSubmissions;lyra-repl/src/test/java/io/mindspice/lyra/repl/SessionModuleRuntimeTest.java#intrinsicIoExecutesThroughTheSessionAndPreservesFollowingSource;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/SessionPinnedModuleCompilerTest.java#retainedSelectiveImportUsesTheCapturedSourceWithoutResolverAccess;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/SessionImportedFlowTest.java#laterDiamondAndReexportsRetainTheActualSelectedProducer;lyra-repl/src/test/java/io/mindspice/lyra/repl/PlainConsoleTest.java#sessionOptionsRetainTheCallerProvidedIoEnvironment;lyra-repl/src/test/java/io/mindspice/lyra/repl/ConsoleParsingTest.java#reloadRequiresExactlyOneTargetAndIsNotAnUnavailableNoOp	Local startup is an empty scratch workspace; search roots configure discovery only. Automatic local-root initialization is separately deferred (P24-REPL-DEF-001).
P24-REPL-R03	PASS	Pinned initialized module instances and transitive reuse without rereading or rerunning	lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/SessionPinnedModuleCompilerTest.java#pinsValidateCapturedSourceAndOriginalOptionsInsteadOfCurrentOptions;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/SessionPinnedModuleCompilerTest.java#preservesEveryProducerIdentityAndEmitsOnlyNewCodeWithExactExternalReads;lyra-repl/src/test/java/io/mindspice/lyra/repl/PersistentImportTest.java#importedModuleInitializesOnceAndKeepsLiveStateAcrossSubmissions;lyra-repl/src/test/java/io/mindspice/lyra/repl/SessionModuleRuntimeTest.java#diamondDependenciesInitializeOnceAndReuseOneLiveProducer;lyra-repl/src/test/java/io/mindspice/lyra/repl/ModuleReloadTest.java#deletingTheBackingSourceDoesNotReplaceThePinnedDefault;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/SessionImportedFlowTest.java#discoveryReadsNewSourcesOnceAndDoesNotResolvePinnedTransitiveDependencies	Pins resolve before filesystem rediscovery; edits and deletions never replace a pin or rerun an initializer.
P24-REPL-R04	PASS	Exact imported scalar aggregate function and callable-bearing values preserve identity and ownership	lyra-repl/src/test/java/io/mindspice/lyra/repl/SessionModuleRuntimeTest.java#importedAggregateAndCallableValuesKeepTheirOriginalIdentityAndMutationRules;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/SessionImportedFlowTest.java#importedCallableAggregatesAndOwnershipSurviveLaterSubmissions;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/SessionImportedFlowTest.java#mutableImportedCallableUsesTheCurrentProducerStateNotItsInitializerOrSameSignature;lyra-repl/src/test/java/io/mindspice/lyra/repl/ApplicationAttachmentTest.java#publicFunctionValuesUseRealInstancesInBothDirections;lyra-repl/src/test/java/io/mindspice/lyra/repl/ApplicationAttachmentTest.java#publicAggregateValuesAreLiveAndElementMutationIsRejected	Imported mutation ownership remains an ordinary diagnostic; module functions may mutate their own state.
P24-REPL-R05	PASS	Whole-operation preflight staged graph initialization resident and attempted tracking and publication/effects rules	lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/PreparedSubmissionTest.java#preparationDoesNotExecuteAndEveryBindingHasItsOwnInitializationGuard;lyra-repl/src/test/java/io/mindspice/lyra/repl/SessionModuleRuntimeTest.java#failedModuleInitializerKeepsEffectsHiddenAndRetryReexecutesIt;lyra-repl/src/test/java/io/mindspice/lyra/repl/SessionModuleRuntimeTest.java#failedModuleIsNotReusedOnIdenticalRetry;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/SessionFailureFlowTest.java#attemptedCertificateRetainsThePreCallValueOfAnEscapedLexicalCell;lyra-repl/src/test/java/io/mindspice/lyra/repl/ApplicationAttachmentTest.java#compilationAndRuntimeFailuresPublishNothingButKeepCompletedRootWrites;lyra-repl/src/test/java/io/mindspice/lyra/repl/LyraSessionTest.java#runtimeFailureDoesNotPublishStagedMetadataAndLeavesSessionUsable	Complete link preflight has no Lyra effects; failed/partial producers are never reused as initialized residents.
P24-REPL-R06	PASS	Explicit REPL-owned reload with fresh closure and atomic defaults while old values remain producer-bound	lyra-repl/src/test/java/io/mindspice/lyra/repl/ModuleReloadTest.java#reloadUsesFreshSourceWhileOldSelectiveValueRemainsBound;lyra-repl/src/test/java/io/mindspice/lyra/repl/ModuleReloadTest.java#reloadReportsScheduledAttemptedAndCompletedInitializers;lyra-repl/src/test/java/io/mindspice/lyra/repl/ModuleReloadTest.java#changedTopologyAddsANewDependencyAndDoesNotRerunTheRemovedOne;lyra-repl/src/test/java/io/mindspice/lyra/repl/ModuleReloadTest.java#failedReloadRepeatsEffectsOnRetryAndKeepsStagedNamesHidden;lyra-repl/src/test/java/io/mindspice/lyra/repl/ModuleReloadTest.java#cancelledReloadReportsTheActualPrefixAndRetainsTheOldDefault;lyra-repl/src/test/java/io/mindspice/lyra/repl/ReloadSequenceReproTest.java#sequentialReloadsRetainOldCallablesAndAcceptChangedImportTopology	Reload reconstructs only the REPL-owned reachable closure and stops at borrowed application-owned dependencies.
P24-REPL-R07	PASS	Trusted links retain exact type initialization owner lifetime and ordinary AOT correctness	lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/SessionStorageLinkTest.java#identicalNamesTypesAndOrdinalsDoNotAuthorizeForeignStorage;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/SessionAggregateLinkTest.java#physicalTypeMismatchAndChangedStructuralBytesFailBeforeAnyNewSourceEffect;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/SessionCallableRuntimeTest.java#resetCloseWrongThreadAndForeignSamsRemainFailClosed;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/RootTypeRegistrationTest.java#registrationUsesTheExactOpenRootAccessors;lyra-runtime/src/test/java/io/mindspice/lyra/runtime/RuntimeControlTest.java#liveControllerOperationsRemainOwnerThreadConfined;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/SessionRepairCompatibilityTest.java#ordinaryArtifactsHaveNoAttemptedSessionEntryPointOrResultStorage	Correctness checks are retained because execution requires them, not as hostile-client security. Authentication/anti-forgery removal is separately classified (P24-REPL-R07-SEC).
P24-REPL-R07-SEC	SUPERSEDED	Token authentication challenges credential-file operations permissions constant-time comparison hostile-client security campaigns and REPL anti-forgery obligations	.internal-dev/specifications/deferred-features.md#REPL-security-hardening-and-automatic-local-roots;.internal-dev/specifications/repl.md#Status;.internal-dev/specifications/decisions.md#Trusted-REPL-completion-scope,-2026-09-06	Explicitly superseded by the accepted trusted-development contract. No credential surface remains; correctness checks stay (P24-REPL-R07).
P24-REPL-R08	PASS	Explicit loopback-only credential-free listener with actual endpoint and authority warning	lyra-repl/src/test/java/io/mindspice/lyra/repl/remote/NoAuthAttachmentTest.java#attachExecutesRealRootStateWithoutAnyCredentialSurface;lyra-repl/src/test/java/io/mindspice/lyra/repl/remote/RemoteProtocolV2Test.java#endpointAndServerOptionsExposeNoCredentialSurface;lyra-repl/src/test/java/io/mindspice/lyra/repl/remote/RemoteProtocolV2Test.java#endpointValidationRejectsWildcardNonLoopbackAndPortZero;lyra-repl/src/test/java/io/mindspice/lyra/repl/remote/RemoteWireRobustnessTest.java#versionOnePeerReceivesAnExplicitUpgradeError;lyra-cli/src/test/java/io/mindspice/lyra/cli/ReplRunCliTest.java#runReplBindsAnUnauthenticatedEndpointAndServicesLiveRootWork;lyra-cli/src/test/java/io/mindspice/lyra/cli/AttachCliTest.java#attachHasNoCredentialPathAnywhereInTheCommandSurface	The listener is explicit opt-in, loopback-only, ephemeral by default; the endpoint display carries the execution-authority warning.
P24-REPL-R09	PASS	Actual registered REPL-capable root public access and owner polling without cloning or reinitialization	lyra-repl/src/test/java/io/mindspice/lyra/repl/ApplicationAttachmentTest.java#publicScalarReadsAndWritesTargetTheOriginalRootStorage;lyra-repl/src/test/java/io/mindspice/lyra/repl/ApplicationAttachmentTest.java#publicFunctionValuesUseRealInstancesInBothDirections;lyra-repl/src/test/java/io/mindspice/lyra/repl/CrossSurfaceAttachedAppTest.java#appAndSessionMutationsObserveTheSameExactRootStorage;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/RootTypeRegistrationTest.java#registrationUsesTheExactOpenRootAccessors;lyra-repl/src/test/java/io/mindspice/lyra/repl/ApplicationAttachmentJavaConsumerTest.java#externalJavaConsumerProvesExplicitOpenPollCloseReopenAndCancellationIdentities;lyra-repl/src/test/java/io/mindspice/lyra/repl/ApplicationAttachmentTest.java#privateMissingImmutableAndPublicRedeclarationRemainOrdinaryDiagnostics	Public @mut writes target real root storage; private/immutable/import rules stay ordinary diagnostics.
