id	source	category	status	requirement	evidence	check
P24-COV-LANG-001	language-core.md#Validation-1	lexer	PASS	Accepted and rejected lexical spelling comments commas mandatory annotation spacing and complete spans are asserted	lyra-compiler/src/test/java/LexerTest.java#testCommentsAndTriviaAreRetained;lyra-compiler/src/test/java/LexerTest.java#testAnnotationSpacingRemainsVisibleToParser;lyra-compiler/src/test/java/LexerTest.java#testMalformedSourceReturnsStructuredFailure;lyra-compiler/src/test/java/SourceFoundationTest.java#testUtf16OffsetsAndLineColumnsAreExact	coverage
P24-COV-LANG-002	language-core.md#Validation-2	literals	PASS	Every literal family and exact numeric boundary behavior has assertion coverage	lyra-compiler/src/test/java/LexerTest.java#testLiteralsAndUtf16Rules;lyra-compiler/src/test/java/LexerTest.java#testExactNumbersAndSigns;lyra-compiler/src/test/java/TypeIdentityTest.java#testExactLiteralTyping;lyra-compiler/src/test/java/TypeCheckerTest.java#testConstantIntegerArithmeticFailuresAreCompileTimeDiagnostics	coverage
P24-COV-LANG-003	language-core.md#Validation-3	modifiers	PASS	Modifier legality and mutation authorization are asserted	lyra-compiler/src/test/java/SemanticResolverTest.java#testSourceOrderReplacementAndOneNamespace;lyra-compiler/src/test/java/SemanticResolverTest.java#testMutationAuthorizationAndImportedOwnership;lyra-compiler/src/test/java/TypeCheckerTest.java#testMutableUnaryMinusRecordsMutabilityDrop	coverage
P24-COV-LANG-004	language-core.md#Validation-4	resolution	PASS	Same-scope replacement closure capture recursion and eager cycles are asserted	lyra-compiler/src/test/java/SemanticResolverTest.java#testSourceOrderReplacementAndOneNamespace;lyra-compiler/src/test/java/SemanticResolverTest.java#testCapturesAndSharedMutableCells;lyra-compiler/src/test/java/Domain11InitializationFlowTest.java#eagerCycleMembershipExcludesPreviouslyVisitedUnrelatedModules;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase16SmokeTest.java#supportsMutualAndNonTailRecursion	coverage
P24-COV-LANG-005	language-core.md#Validation-5	functions	PASS	Lambda typing exact arity both call forms and accessor distinctions are asserted	lyra-compiler/src/test/java/TypeCheckerTest.java#testScalarsDeclarationsOperatorsAndCalls;lyra-compiler/src/test/java/TypeCheckerTest.java#testValidatorEnforcesCallAndAccessShapeMatrix;lyra-compiler/src/test/java/ParserTest.java#testParserBuildsCompleteImmutableTree;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase15SmokeTest.java#emitsDirectAndCallableFunctionCalls	coverage
P24-COV-LANG-006	language-core.md#Validation-6	evaluation	PASS	Left-to-right effects and every short-circuit path are asserted	lyra-compiler/src/test/java/Domain11FlowStateTest.java#shortCircuitOperatorsRetainTheSkippedCallableEffectPath;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase15SmokeTest.java#preservesStrictLeftToRightFailureOrder;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase16SmokeTest.java#tupleElementsEvaluateArbitraryExpressionsExactlyOnceFromLeftToRight	coverage
P24-COV-LANG-007	language-core.md#Validation-7	conditionals	PASS	Truthiness predicate binding then-only Unit and nil-only coalescing are asserted	lyra-compiler/src/test/java/Domain11SemanticTest.java#testNilTruthBranchesCoalescingAndModifiers;lyra-compiler/src/test/java/TypeCheckerTest.java#testPredicateBindingCompactLambdaAndNamespaceLinks;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase15SmokeTest.java#emitsPredicateNarrowingAndThenOnlyUnitBranches	coverage
P24-COV-LANG-008	language-core.md#Validation-8	operators	PASS	Operator arity equality identity checked and trapping arithmetic and conversion edges are asserted	lyra-compiler/src/test/java/TypeCheckerTest.java#testNegativeArityAndConversion;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase15SmokeTest.java#emitsCheckedArithmeticAcrossSignedUnsignedAndFloatingValues;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase16SmokeTest.java#arraysAndTuplesUseStructuralEqualityWhileClosuresKeepIdentity;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase22ConformanceTest.java#completeLanguageMatrixReachesValidatedIrAndPublicRuntime	coverage
P24-COV-LANG-009	language-core.md#Validation-9	aggregates	PASS	Array and tuple construction access mutation aliases equality length and bounds failures are asserted	lyra-compiler/src/test/java/Domain11AggregateOwnershipTest.java#freshArraysTupleRootAndReplacementsKeepLocalPermissionSeparate;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase16SmokeTest.java#emitsExactArrayAbiAndPreservesLiveIdentityAliasesAndMutation;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase16SmokeTest.java#nestedAggregatesAndBoxedNullableScalarsUseRecursiveValueEquality;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase22ConformanceTest.java#completeLanguageMatrixReachesValidatedIrAndPublicRuntime	coverage
P24-COV-LANG-010	language-core.md#Validation-10	strings	PASS	Explicit scalar conversion and UTF-16 string length and indexing are asserted	lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase15SmokeTest.java#emitsExplicitScalarTextConversions;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase16SmokeTest.java#stringIndexAndLengthUseUtf16CodeUnits;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase22ConformanceTest.java#completeLanguageMatrixReachesValidatedIrAndPublicRuntime	coverage
