id	source	category	status	requirement	evidence	check
P24-RB-001	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Required-Behavior	language	PASS	Every non-deferred lexical syntactic semantic evaluation module and failure rule is implemented and proven	tools/phase24-conformance-coverage.tsv#P24-COV-LANG-001;tools/phase24-conformance-coverage.tsv#P24-COV-LANG-002;tools/phase24-conformance-coverage.tsv#P24-COV-LANG-003;tools/phase24-conformance-coverage.tsv#P24-COV-LANG-004;tools/phase24-conformance-coverage.tsv#P24-COV-LANG-005;tools/phase24-conformance-coverage.tsv#P24-COV-LANG-006;tools/phase24-conformance-coverage.tsv#P24-COV-LANG-007;tools/phase24-conformance-coverage.tsv#P24-COV-LANG-008;tools/phase24-conformance-coverage.tsv#P24-COV-LANG-009;tools/phase24-conformance-coverage.tsv#P24-COV-LANG-010;tools/phase24-conformance-coverage.tsv#P24-COV-LANG-011;tools/phase24-conformance-coverage.tsv#P24-COV-LANG-012	coverage
P24-RB-002	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Required-Behavior	backend	PASS	Every non-deferred backend runtime CLI artifact and Java-consumption contract is implemented and proven	tools/phase24-conformance-coverage.tsv#P24-COV-BACK-001;tools/phase24-conformance-coverage.tsv#P24-COV-BACK-002;tools/phase24-conformance-coverage.tsv#P24-COV-BACK-003;tools/phase24-conformance-coverage.tsv#P24-COV-BACK-004;tools/phase24-conformance-coverage.tsv#P24-COV-BACK-005;tools/phase24-conformance-coverage.tsv#P24-COV-BACK-006;tools/phase24-conformance-coverage.tsv#P24-COV-BACK-007;tools/phase24-conformance-coverage.tsv#P24-COV-BACK-008;tools/phase24-conformance-coverage.tsv#P24-COV-BACK-009;tools/phase24-conformance-coverage.tsv#P24-COV-BACK-010;tools/phase24-conformance-coverage.tsv#P24-COV-BACK-011;tools/phase24-conformance-coverage.tsv#P24-COV-BACK-012;tools/phase24-conformance-coverage.tsv#P24-COV-BACK-013	coverage
P24-RB-003	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Required-Behavior	scope	PASS	Deferred capabilities stay out of implementation grammar public API and completion claims	tools/phase24-release-audit.sh;lyra-compiler/src/main/resources/grammar_spec.md	deferred
P24-RB-004	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Required-Behavior	frontend	PASS	The two-phase grammar match then parser replay architecture and consumption invariants are retained	lyra-compiler/src/test/java/GrammarMatcherTest.java#testRangesAndNestedInvariantsAreExecutable;lyra-compiler/src/test/java/ParserTest.java#testReplayIsDeterministicDeeplyImmutableAndInvariantChecked	grammar
P24-RB-005	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Required-Behavior	immutability	PASS	Published source token syntax semantic IR class and artifact outputs are deeply immutable	lyra-compiler/src/test/java/io/mindspice/lyra/compiler/semantic/Domain11SealingTest.java#publicationAttachesImmutableFactsAndNestedCollections;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/ir/TypedIrTest.java#everyClosedIrVariantIsProducedBySupportedSource	sealing
P24-RB-006	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Required-Behavior	architecture	PASS	Syntax AST semantic graph and typed IR are separate closed layers	lyra-compiler/src/test/java/io/mindspice/lyra/compiler/semantic/Domain11SealingTest.java#publicationAttachesImmutableFactsAndNestedCollections;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/ir/TypedIrTest.java#everyClosedIrVariantIsProducedBySupportedSource	sealing
P24-RB-007	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Required-Behavior	identity	PASS	Compilation-local IDs and stable module export artifact identities are propagated deterministically	lyra-compiler/src/test/java/TypeIdentityTest.java#testCompilationIdsAreDeterministicAndImmutable;lyra-compiler/src/test/java/ModuleGraphDiscoveryTest.java#testOrderingAndRevisionsIgnorePhysicalPaths;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/GeneratedTypePlannerTest.java#repeatedPlanningAndIndependentOrderingAreDeterministic	identity
P24-RB-008	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Required-Behavior	modules	PASS	Reachable graph resolution import visibility function SCC linkage eager dependency analysis and order are implemented	lyra-compiler/src/test/java/ModuleGraphDiscoveryTest.java#testReachableHeaderImportsAndCyclesBecomeGraphEdges;lyra-compiler/src/test/java/SemanticResolverTest.java#testImportsAliasesSelectionsReexportsAndVisibility;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase22ConformanceTest.java#pathGraphCompilesDependencyFirstAndKeepsInstancesIndependent	module
P24-RB-009	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Required-Behavior	types	PASS	Bidirectional type checking exact literals widening narrowing nil and modifier contracts are implemented	lyra-compiler/src/test/java/TypeIdentityTest.java#testExactLiteralTyping;lyra-compiler/src/test/java/TypeCheckerTest.java#testValidatorEnforcesCallAndAccessShapeMatrix;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/JvmAbiMapperTest.java#arraysTuplesAndFunctionsUseConcreteGeneratedReferences	types
P24-RB-010	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Required-Behavior	jvm	PASS	Production emission uses direct Java 25 Class-File API bytecode with specialized descriptors	lyra-compiler/src/test/java/ClassFileApiSpikeTest.java#testLoadsInvokesAndPassesExternalVerification;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase15SmokeTest.java#verifiesAndInvokesTheCompleteArtifactInAnExternalJvm;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase23StructuralBytecodeTest.java#directSelfTailCallHasNoGeneratedRecursiveInvokeAndKeepsConstantStack	jvm
P24-RB-011	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Required-Behavior	facade	PASS	Generated typed facades factories metadata setters function values lifecycle and authentication are implemented	lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase17SmokeTest.java#generatedFacadeCompilesAsAnOrdinaryJavaConsumer;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase19PublicApiTest.java#compilerPublishesImmutableArtifactAndExactBoundHandle;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase22ConformanceTest.java#generatedFacadeExposesExactJavaTypesAndCompilesAsAConsumer	api
P24-RB-012	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Required-Behavior	artifacts	PASS	Classes thin JAR and bundled JAR assembly metadata maps normalized entries and atomic publication are implemented	lyra-compiler/src/test/java/io/mindspice/lyra/compiler/artifact/Phase18ArtifactTest.java#metadataIsCanonicalEscapedOrderedAndReadable;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase18SmokeTest.java#thinJarIsStoredReproducibleAndUsesEpochEntries	artifact
P24-RB-013	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Required-Behavior	java-api	PASS	Public Java compile load instantiate export and exact-handle APIs use immutable results and options	lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase17SmokeTest.java#generatedFacadeCompilesAsAnOrdinaryJavaConsumer;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase19PublicApiTest.java#compilerPublishesImmutableArtifactAndExactBoundHandle;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase22ConformanceTest.java#generatedFacadeExposesExactJavaTypesAndCompilesAsAConsumer	api
P24-RB-014	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Required-Behavior	cli	PASS	The exact run compile help version argument and exit-code workflows are implemented	lyra-cli/src/test/java/io/mindspice/lyra/cli/Phase21CliTest.java#helpVersionAndUsageAreStable;lyra-cli/src/test/java/io/mindspice/lyra/cli/Phase22CliConformanceTest.java#runMapsRuntimeFailuresAndDeferredSyntaxToSourceFailures;tools/phase24-release-audit.sh	cli
P24-RB-015	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Required-Behavior	io	PASS	Pinned std->io identity direct lowering UTF-8 configurable streams line input and failures are implemented	lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase20IoTest.java#outputUsesConfiguredCharsetOneWritePerCallAndFlushes;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase20IoTest.java#readLineDecodesUtf8StripsOnlyCrLfAndUsesNilOnlyAtCleanEof	io
P24-RB-016	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Required-Behavior	diagnostics	PASS	Stable compiler/runtime codes source spans frames maps rendering and linkage boundaries are implemented	lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase22ConformanceTest.java#runtimeFailureMatrixIncludesFramesAndInitializationCause;lyra-cli/src/test/java/io/mindspice/lyra/cli/Phase22CliConformanceTest.java#runMapsRuntimeFailuresAndDeferredSyntaxToSourceFailures	diagnostics
P24-RB-017	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Required-Behavior	performance	PASS	The owner-ratified Phase 23 structural empirical and allocation gate passes freshly	tools/phase23-evidence.sh;tools/phase23-gates.json;tools/phase23_gate.py	phase23
